,label,text
7419,2,".5 million, which, with the sum remaining in the Treasury at the end of the last year, amounting to $9,463,922.81 will, after discharging the current disbursements of the year, the interest on the public debt, and upward of $11,633,011.52 of the principal, leave a balance of more than $3 million in the Treasury on the first day of January next"
496,1,". Let us remember that the test of this moment is the test of all time. The Kremlin wants to portray NATO enlargement as an imperial project aimed at destabilizing Russia. Nothing is further from the truth. NATO is a defensive alliance. It has never sought the demise of Russia. In the lead-up to the current crisis, the United States and NATO worked for months to engage Russia to avert a war"
1074,1,". One hundred days later, 70 percent of seniors in America over 65 are protected—fully protected. Senior deaths from COVID-19 are down 80 percent since January—down 80 percent because of all of you. And more than half of all the adults in America have gotten at least one shot"
3898,0,". There’s tremendous litigation going on. And this is a case where they’re trying to steal an election, they’re trying to rig an election, and we can’t let that happen. Detroit and Philadelphia — known as two of the most corrupt political places anywhere in our country, easily — cannot be responsible for engineering the outcome of a presidential race — a very important presidential race"
3997,0,". Oh, good—come back in a couple of years. We’ll take you to court. You’re released.” This is—these are—this is the policy of fools. Catch-and-release. You catch even a criminal, you catch a bad person, you release the person as soon as you catch them. We have to end it. Despite that, we’re doing a great job. And ICE—ICE. Oh, ICE. Thank goodness for ICE"
9362,2,". Their release would at least produce one element of a solution, namely certainty and a quick stimulation of private initiative.I believe that it will be serviceable for me to set forth as explicitly as possible the alternative courses that lie open to our choice"
2573,0,". And so always, but especially today, let us hold our loved ones close, let us pray for healing and for peace, and let us come together as one nation to wipe away the tears and strive for a much better tomorrow. Thank you. And God Bless you all. Thank you very much."
9499,2,". MR. RATHER. Mr. President, I know that with the campaign coming up you don't want to get into politics too much, but I would be remiss in my duties as a reporter if I didn't ask you, regardless of who the Democratic candidate is in 1968, what effect do you think the candidacy of Senator McCarthy and the position of Senator Robert Kennedy will have on the Democratic Party? THE PRESIDENT"
3848,0,". You were the people that, when the polls came out, they didn’t know that you existed. The Democrats are trying to figure out who you are, because they want to get you back. But you are people — we’ve had people that never voted, but they’re great patriots — but they never saw anybody they wanted to vote for. Then they go to the election, they’ve got Trump-Pence, Trump-Pence"
6607,2,". Twenty months later our efforts have produced a new reality: The doors of the billion dollar Asian Development Bank that I recommended to the Congress, and you endorsed almost unanimously, I am proud to tell you are already open. Asians are engaged tonight in regional efforts in a dozen new directions. Their hopes are high. Their faith is strong. Their confidence is deep"
462,1,". So, there’s no doubt about that, number one. Number two, the notion that this is going to last for a long time is highly unlikely, as long as we continue to stay resolved in imposing the sanctions we’re going to impose on Russia, period. What’s your next question? I’m sorry"
8992,2,".At the last session of the Congress a bill was passed by the Senate which provides for the promotion of vocational and industrial education, which is of vital importance to the whole country because it concerns a matter, too long neglected, upon which the thorough industrial preparation of the country for the critical years of economic development immediately ahead of us in very large measure"
544,1,".S. forces or any forces have—have been lost. Conducting our drawdown differently would have certainly come with an increased risk of safety to our personnel. To me, those risks were unacceptable. And there was never any doubt that our military would perform this task efficiently and with the highest level of professionalism. That’s what they do"
2587,0,". They lost sight of America’s destiny. And they lost their belief in American greatness. As a result, our citizens lost something as well. The people lost confidence in their government and, eventually, even lost confidence in their future. But last year, all of that began to change. The American people rejected the failures of the past"
380,1,". And we’re calling on all countries to refrain from banning food exports or hoarding grain while so many people are suffering. Because in every country in the world, no matter what else divides us, if parents cannot feed their children, nothing—nothing else matters if parents cannot feed their children"
6142,2,". Beyond the Mississippi, the Iowas, the Sacs, and the Alabamas, have delivered up for trial and punishment individuals from among themselves accused of murdering citizens of the United States"
7659,2,". From the character of the points still in difference and the undoubted disposition of both parties to bring the matter to an early conclusion, I look with entire confidence to a prompt and satisfactory termination of the negotiation"
7695,2,". It can not fail to stimulate their agents to adhere under all circumstances to the line of duty and to satisfy them of the safety with which a course really right and demanded by a financial crisis may in a community like ours be pursued, however apparently severe its immediate operation"
9390,2,". We are encouraging that. We are going to continue to do our dead-level best to see this constitutional government, where 70 percent of their people registered and 60 percent of their people voted, develop some kind of a plan that we think will ultimately unite South Vietnam and bring peace to that area. This will take time. This will take patience. This will take understanding"
297,1,". Progressives and moderates. I’d like to pause and ask all the committee chairs and ranking members of the United States Senate and House that are here today — please stand. Would all of you stand? Come on. All right. Thank you, thank you, thank you. To state the obvious, none of this would have happened without all of you. I really mean it"
6895,2,". It will be noted that the estimates for the Panama Canal for the ensuing year are more than fifty-six millions of dollars, an increase of twenty millions over the amount appropriated for this year--a difference due to the fact that the estimates for 1912 include something over nineteen millions for the fortification of the Canal. Against the estimated expenditures of $630,494,013"
640,1,". Insurance companies—they had insurance, many of them—rejected claims of damage. Ten thousand people were left destitute and homeless, placed in internment camps. As I was told today, they were told, “Don’t you mention you were ever in a camp or we’ll come and get you.” That’s what survivors told me. Yet no one—no arrests of the mob were made. None. No proper accounting of the dead"
3135,0,". Jamiel Shaw Jr. was an incredible young man, with unlimited potential who was getting ready to go to college where he would have excelled as a great quarterback. But he never got the chance. His father, who is in the audience tonight, has become a good friend of mine. Also with us are Susan Oliver and Jessica Davis"
971,1,". And I know the news about what’s happening can seem alarming. But I want you to know that we are going to be okay. When the history of this era is written, Putin’s war on Ukraine will have left Russia weaker and the rest of the world stronger. While it shouldn’t have taken something so terrible for people around the world to see what’s at stake, now everyone sees it clearly"
6872,2,"upon each other's products, sympathies and assistance"
6598,2,". So I must say to you that our pressure must be sustained--and will be sustained-until he realizes that the war he started is costing him more than he can ever gain. I know of no strategy more likely to attain that end than the strategy of ""accumulating slowly, but inexorably, every kind of material resource""--of ""laboriously teaching troops the very elements of their trade"
7293,2,".PERMANENT IMPROVEMENTS. Among other items for permanent improvements appearing in the District estimates for 1912 is one designed to substitute for Willow Tree Alley, notorious in the records of the Police and Health Departments, a playground with a building containing baths, a gymnasium, and other helpful features, and I hope Congress will approve this estimate"
3948,0,". New images, just today, show that North Korea has begun the process of dismantling a key missile site. And we appreciate that. We had a fantastic meeting with Chairman Kim, and it seems to be going very well. I know we are joined today by many incredible veterans of the Korean War. Thank you for your courageous service"
7324,2,".Careful study of experiments made by foreign governments shows that three serious objections to the civil pension payable out of the public treasury may be brought against it by the taxpayer, the administrative officer, and the civil employee, respectively"
398,1,". And we will continue to advocate for lasting negotiating peace between the Jewish and democratic state of Israel and the Palestinian people. The United States is committed to Israel’s security, full stop"
1700,1,". It’s a smart investment that’s going to pay dividends for American security for generations, help us keep American troops out of harm’s way, help us build a world that is safer, more peaceful, and more prosperous for our children and grandchildren. In Israel, we must make sure that they have what they need to protect their people today and always"
6824,2,". In honor of these events, special embassies were sent from this country to Argentina, Chile, and Mexico, where the gracious reception and splendid hospitality extended them manifested the cordial relations and friendship existing between those countries and the United States, relations which I am happy to believe have never before been upon so high a plane and so solid a basis as at present"
8102,2,"I meet you, upon the present occasion, with the feelings which are naturally inspired by a strong impression of the prosperous situation of our common Country, and by a persuasion equally strong that the labours of the present45 Session, which has just commenced, will, under the guidance of a spirit no less prudent than patriotic, issue in measures, conducive to the stability and increase of"
3737,0,". Right? Our agreement kicks in immediately. Russia, they’re allowed to go back into the 1990s, which was not a clean environmental time. Other countries, big countries—India and others—we had to pay, because they considered them a growing country. They were a growing country"
4397,0,". And every day, sanctuary cities release illegal immigrants and drug dealers, traffickers, and gang members back into our communities. They’re protected by these cities. And you say, “What are they doing?” They’re safe havens for just some terrible people. Some terrible people. And they’re making it very dangerous for our law enforcement officers. You see it all the time"
6617,2,"to ward off a greater""; whether we can do these without arousing the hatreds and the passions that are ordinarily loosed in time of war--on all these questions so much turns"
667,1,". Right now, it calls for 10 percent; I’m going to move that to 15 percent of every dollar spent will be spent . I have the authority to do that. Just imagine if, instead of denying millions of entrepreneurs the ability to access capital and contracting, we made it possible to take their dreams to the marketplace to create jobs and invest in our communities"
4431,0,". So, thank you, Mr. President, for your leadership. THE PRESIDENT: Thank you, Alex. You’ll be seeing drug prices falling very substantially in the not-too-distant future, and it’s going to be beautiful. And I want to thank, also, Scott Gottlieb. Scott is working on different things, but one of them is called “Right to Try"
3307,0,". As we know it and as you have been covering it in some cases—actually covering it accurately—many of the far-left policies they’re pushing have nothing to do, again, with what we have been working on so hard—namely, the corona. You can call it so many different names. What a horrible thing China released upon the world"
4802,0,". Millions of additional payments will follow. The typical family of four will receive $3,400. That’s for a family of four. That’s something. Additionally, through our Paycheck Protection Program –which is a tremendous success, and they should extend it and increase it. This has been a tremendous success"
4547,0,". People don’t realize that. So I said, they gave me a charge, very early in my administration like how about the first week? “Sir, would you sign for this plane?” Now it’s actually two planes. “Would you sign for this plane? Air Force One?” I said, “How old is the original or the one we have now?” “Sir, it’s 31, 32 years"
2467,0,". I want our youth to grow up to achieve great things. I want our poor to have their chance to rise. So tonight, I am extending an open hand to work with members of both parties—Democrats and Republicans—to protect our citizens of every background, color, religion, and creed"
902,1,".” They’re “patriots.” And he promised to pardon them if he returns to office. Trump said that there was “a lot of love” on January the 6th. The rest of the nation, including law enforcement, saw a lot of hate and violence. One Capitol police officer called it a “medieval battle.” That same officer called vile — was called vile, racist names"
3370,0,". African Americans just set a record for new jobs just now—during the pandemic, the last month. And Asian Americans just set a record for new jobs. So we’re very proud of what’s happening. And I will now sign the executive action. And then, if you want, we can ask a few questions. Okay, Kelly. Yeah, let me do this first, and then you can do some questions. Thank you very much"
1106,1,". And, by the way, while you’re thinking about sending things to my desk——let’s raise the minimum wage to $15. No one—no one working 40 hours a week—no one working 40 hours a week should live below the poverty line. We need to ensure greater equity and opportunity for women. And while we’re doing this, let’s get the Paycheck Fairness Act to my desk as well—equal pay. It’s been much too long"
8557,2,". I recommend that Congress should immediately provide by law for granting letters of marque and reprisal against vessels under the Mexican flag. It is true that there are but few, if any, commercial vessels of Mexico upon the high seas, and it is therefore not probable that many American privateers would be fitted out in case a law should pass authorizing this mode of warfare"
9294,2,". It has been an inspiring thing to be here in the midst of fine men who had turned aside from every private interest of their own and devoted the whole of their trained capacity to the tasks that supplied the sinews of the whole great undertaking! The patriotism, the unselfishness, the thoroughgoing devotion and distinguished capacity that marked their toilsome labors, day after day, month after"
7740,2,"of political power, conferred for the general benefit, to the aggrandizement of particular classes and the gratification of individual cupidity, is alone sufficient, independently of the weighty objections which have already been urged, to render its creation and existence the sources of bitter and unappeasable discord"
3562,0,". The—the fake news didn’t like it at all. And I just threw it out as a suggestion, but it seems like that’s the case, because when it’s on a surface that would last for a long time, when that surface is outside, it goes away very quickly. It dies very quickly with the sun. Yeah, go ahead"
8371,2,. By a sweeping decree of a Congress subservient to the will of the Dictator the several State constitutions were abolished and the States themselves converted into mere departments of the central Government. The people of Texas were unwilling to submit to this usurpation. Resistance to such tyranny became a high duty
7348,2,". The American bankers rightly maintained that they were not justified in giving such guarantees, and that, if they did so, the United States would be the only country in the world whose bills were so discredited, and whose foreign trade was carried on under such guaranties"
2498,0,". He passed away just days after his return. Otto’s Parents, Fred and Cindy Warmbier, are with us tonight—along with Otto’s brother and sister, Austin and Greta. You are powerful witnesses to a menace that threatens our world, and your strength inspires us all. Tonight, we pledge to honor Otto’s memory with American resolve"
4645,0,". Pro choice, pro choice, pro choice for schools. It’s very popular, but some people it’s like a disaster because what it does to certain unions that have a lot of power over the Democrats, even though they know it’s wrong. Republicans believe access to education is a civil right. It’s a civil right. 20 of 20 of the most dangerous cities in America are controlled by Democrats"
1186,1,". You can’t yell “Fire!” in a crowded theater. From the very beginning, there were certain guns, weapons, that could not be owned by Americans. Certain people could not own those weapons ever. We’re not changing the Constitution; we’re being reasonable. I think this is not a Democrat or Republican issue; I think it’s an American issue"
8326,2,"."" President Van Buren, believing that it would be vain to make any further attempt to obtain redress by the ordinary means within the power of the Executive, communicated this opinion to Congress in the message referred to, in which he said: On a careful and deliberate examination of their contents of the correspondence with the Mexican Government], and considering the spirit manifested by the"
3000,0,". Americans expect Congress to send me this funding without delay so I can sign it into law. So, Mr. Speaker, John Thune, both of you, I hope you’re going to be able to do that. Mr. Speaker, thank you. Mr. Leader, thank you. Thank you very much. And let’s get it to me. I’ll sign it so fast, you won’t even believe it"
6592,2,"."" We have chosen to fight a limited war in Vietnam in an attempt to prevent a larger war--a war almost certain to follow, I believe, if the Communists succeed in overrunning and taking over South Vietnam by aggression and by force. I believe, and I am supported by some authority, that if they are not checked now the world can expect to pay a greater price to check them later"
8895,2,"country, and that a proper sense of public duty imperiously demanded that that institution should be no longer used as a depository of the public funds"
7941,2,". On the 30th day of June last, though over 300,000 new calls had come in, there was not a single case that had not been examined and answered. I concur in the recommendations of the Secretary that adequate and regular appropriations be continued for coast-defense works and ordnance"
8444,2,". Paredes had then revolutionized the Government, and his minister, after referring to the resolution for the annexation of Texas which had been adopted by our Congress in March, 1845, proceeds to declare that-- A fact such as this, or, to speak with greater exactness, so notable an act of usurpation, created an imperious necessity that Mexico, for her own honor, should repel it with proper"
